  22 wind speed [m/s]          pitch [deg]     rot. speed [rpm]      aero power [kw]     aero thrust [kn]
             4.000000             0.000535             2.779489           543.546871           237.960487
             5.000000             0.000535             3.471133          1063.829070           371.219470
             6.000000             0.000535             4.162965          1842.655425           533.639848
             7.000000             0.000535             4.854082          2933.309772           724.644808
             8.000000             0.000535             5.544922          4389.310697           943.591729
             9.000000             0.000535             6.236120          6263.969910          1189.664862
            10.000000             0.000535             6.928486          8609.877563          1461.882984
            11.000000             1.293875             7.400000         11159.095365          1608.471664
            12.000000             6.864350             7.400000         11158.599870          1255.202946
            13.000000             9.790961             7.400000         11158.412893          1101.941388
            14.000000            12.066606             7.400000         11163.420092          1000.096687
            15.000000            14.035624             7.400000         11158.551980           922.831738
            16.000000            15.800407             7.400000         11155.176437           862.052089
            17.000000            17.421745             7.400000         11158.926862           812.917929
            18.000000            18.942743             7.400000         11158.491613           771.639590
            19.000000            20.382680             7.400000         11158.695562           736.645037
            20.000000            21.756394             7.400000         11158.762974           706.618962
            21.000000            23.073845             7.400000         11158.570501           680.647288
            22.000000            24.343959             7.400000         11158.618566           658.161577
            23.000000            25.573619             7.400000         11158.747285           638.772642
            24.000000            26.765713             7.400000         11158.700521           621.936797
            25.000000            27.921220             7.400000         11158.992775           607.220629
